"Items","Discrimination.3PL","Difficulty.3PL","Guessing.3PL"
"Item1",1.89350543004731,-1.72116894252191,0.664113744804568
"Item2",1.42429322827164,-0.0566446088076053,0.256676055529506
"Item3",1.32738074271836,-2.20597237464318,0.0302632600102323
"Item4",1.0103964065212,-0.576809206593767,0.00312760656171277
"Item5",1.50707277358753,0.0663423522203166,0.152123781390925
"Item6",1.62996928101954,-0.771268840687537,0.627020443762885
"Item7",0.878239205702703,-1.2945610362277,0.498538122219225
"Item8",1.44876746053978,-1.52898289956558,0.266621804117701
"Item9",1.10686089424932,-1.56474731879652,0.00380387003513678
"Item10",2.15661517431517,-1.45104588848724,0.423636131310756
"Item11",1.51216932277793,-0.995803474850381,0.00137306330156785
"Item12",1.66173406082012,-0.411569652379227,0.739245666495328
"Item13",2.37385904646437,-1.0954402908336,0.00730286839136741
"Item14",2.99136199197479,0.613345785825564,0.43994522121752
"Item15",0.775450556591043,-0.636943517577443,0.000890828289889854
"Item16",1.61683353537598,-2.11975008217954,0.101035622169009
"Item17",1.34770998359797,-0.119861748744393,0.00807515711606543
"Item18",1.54630709140857,-0.0660033808740283,0.0721804002426279
"Item19",1.24595899829203,-1.87181800352899,0.023719872181911
"Item20",1.1787973720517,-0.223028685800655,0.196092018131635
"Item21",6.76969691478716,0.791309583457668,0.256024940332458
"Item22",8.17872200482371,0.637528353474562,0.356959772730711
"Item23",3.18637094019202,0.337615650926562,0.50881928439685
"Item24",2.00196708426258,-0.649989430110261,0.678786289016029
"Item25",2.06123487849413,0.119640104684932,0.114507475735751
"Item26",2.24188209729462,0.780936223903372,0.0491068206989476
"Item27",3.77484875932477,0.484362821491162,0.563954335089921
"Item28",1.45998266491791,-0.681073914239259,0.0633123968575715
"Item29",0.166171887852452,-9.11640125014952,0.086903934525637
"Item30",1.30648820330802,-0.253963114905038,0.0985723190793835
